,date,type,location,fatalities,ground_fatalities,crew,passengers,operator,first_flight,damage,phase,nature,manufacturer,year,month,day,aircraft_age
302,1941-02-12,Douglas DC-2-192,China,3,0,3.0,0.0,CNAC,1936-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1941,February,Wednesday,1869
305,1941-02-26,Douglas DST-318A (DC-3),United States of America,8,0,3.0,13.0,Eastern Air Lines,1940-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Douglas,1941,February,Wednesday,422
308,1941-03-28,Lockheed 18 Lodestar,South Africa,10,0,4.0,6.0,South African Airways,1940-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Lockheed,1941,March,Friday,452
316,1941-04-22,Ford 5-AT-C Tri-Motor,Brazil,1,0,5.0,9.0,Colombian AF,1929-01-01,Damaged beyond repair,En route (ENR),Military,Ford,1941,April,Tuesday,4494
325,1941-06-10,Consolidated C-12 Commodore (16-2),Brazil,8,0,1.0,7.0,Brazilian AF,1930-01-01,Damaged beyond repair,Unknown (UNK),Military,Consolidated,1941,June,Tuesday,4178
331,1941-07-02,Lisunov PS-84,Russia,3,0,4.0,0.0,Aeroflot,1941-01-01,Missing,Unknown (UNK),Military,Lisunov,1941,July,Wednesday,182
335,1941-07-19,Lisunov PS-84,Russia,3,0,4.0,1.0,Aeroflot,1940-01-01,Damaged beyond repair,En route (ENR),Military,Lisunov,1941,July,Saturday,565
336,1941-07-25,Lisunov PS-84,Ukraine,10,0,4.0,6.0,"Aeroflot, MAGON",1941-01-01,Damaged beyond repair,Unknown (UNK),Military,Lisunov,1941,July,Friday,205
341,1941-08-02,Douglas DC-2-120,Gambia,3,0,3.0,0.0,U.S. Treasury,1934-01-01,Damaged beyond repair,Unknown (UNK),Ferry/positioning,Douglas,1941,August,Saturday,2770
343,1941-08-15,Ford 5-AT-B Tri-Motor,Colombia,1,0,2.0,13.0,Colombian AF,1929-01-01,Damaged beyond repair,Takeoff (TOF),Military,Ford,1941,August,Friday,4609
344,1941-08-18,Lockheed 18 Lodestar,Brazil,8,0,4.0,9.0,Panair do Brasil,1941-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Lockheed,1941,August,Monday,229
345,1941-08-19,Lisunov PS-84,Russia,3,0,3.0,1.0,"Aeroflot, MAGON",1941-01-01,Damaged beyond repair,En route (ENR),Cargo,Lisunov,1941,August,Tuesday,230
346,1941-08-27,Ford 5-AT-C Tri-Motor,Colombia,16,0,3.0,13.0,Colombian AF,1930-01-01,Damaged beyond repair,En route (ENR),Military,Ford,1941,August,Wednesday,4256
348,1941-09-01,Bloch 220,France,15,0,3.0,14.0,Air France,1938-01-01,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,Bloch,1941,September,Monday,1339
350,1941-09-26,Ford 5-AT-C Tri-Motor,Bolivia,8,0,2.0,6.0,CAMB,1929-01-01,Damaged beyond repair,En route (ENR),Cargo,Ford,1941,September,Friday,4651
351,1941-10-03,Sikorsky S-42B,Puerto Rico,2,0,6.0,21.0,Pan Am,1936-01-01,Damaged beyond repair,Landing (LDG),International Scheduled Passenger,Sikorsky,1941,October,Friday,2102
357,1941-10-13,Lockheed 18 Lodestar,Indonesia,5,7,3.0,2.0,Netherlands East Indies AF,1941-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1941,October,Monday,285
360,1941-10-29,Lisunov PS-84,Russia,24,0,4.0,20.0,Soviet AF,1941-01-01,Damaged beyond repair,En route (ENR),Military,Lisunov,1941,October,Wednesday,301
361,1941-10-30,Douglas DC-3A-269,United States of America,14,0,3.0,12.0,Northwest Airlines,1939-01-01,Destroyed,Approach (APR),Domestic Scheduled Passenger,Douglas,1941,October,Thursday,1033
362,1941-10-30,Douglas DC-3-277B,Canada,20,0,3.0,17.0,American Airlines,1940-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Douglas,1941,October,Thursday,668
366,1941-11-14,Lisunov PS-84,Russia,14,0,6.0,8.0,Aeroflot,1941-01-01,Damaged beyond repair,Unknown (UNK),Ferry/positioning,Lisunov,1941,November,Friday,317
367,1941-11-19,Lisunov PS-84,Russia,5,0,5.0,0.0,Aeroflot,1941-01-01,Damaged beyond repair,Approach (APR),Cargo,Lisunov,1941,November,Wednesday,322
368,1941-11-29,Lisunov PS-84,Russia,1,0,4.0,0.0,Aeroflot,1941-01-01,Damaged beyond repair,Takeoff (TOF),Test,Lisunov,1941,November,Saturday,332
369,1941-11-30,Lisunov PS-84,Russia,36,0,6.0,30.0,Aeroflot,1941-01-01,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,Lisunov,1941,November,Sunday,333
375,1941-12-18,Lockheed 14-H Super Electra,Russia,2,0,1.0,2.0,"Aeroflot, Moscow",1939-01-01,Damaged beyond repair,Unknown (UNK),Test,Lockheed,1941,December,Thursday,1082
386,1942-01-16,Douglas DC-3-382,United States of America,22,0,3.0,19.0,TWA,1941-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1942,January,Friday,380
391,1942-01-28,Lisunov PS-84,Poland,5,0,5.0,0.0,"Aeroflot, MAGON",1941-01-01,Damaged beyond repair,Unknown (UNK),Military,Lisunov,1942,January,Wednesday,392
393,1942-02-02,Lisunov PS-84,Russia,6,0,6.0,0.0,"Aeroflot, MAGON",1941-01-01,Missing,Unknown (UNK),Military,Lisunov,1942,February,Monday,397
405,1942-02-27,Short S.23 Empire Flying Boat Mk I,Australia,7,0,2.0,9.0,RAAF,1938-01-01,Destroyed,Landing (LDG),Military,Short,1942,February,Friday,1518
407,1942-02-28,Short S.23 Empire Flying Boat Mk I,Pacific Ocean,22,0,4.0,18.0,"BOAC, op.for Qantas Empire Airways",1937-01-01,Damaged beyond repair,En route (ENR),Int'l Non Scheduled Passenger,Short,1942,February,Saturday,1884
411,1942-03-05,Douglas C-39 (DC-2),United States of America,7,0,4.0,3.0,USAAF,1939-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1942,March,Thursday,1159
412,1942-03-14,Douglas DC-2-221,China,13,0,3.0,14.0,CNAC,1937-01-01,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,Douglas,1942,March,Saturday,1898
415,1942-03-22,Short S.23 Empire Flying Boat Mk I,Australia,2,0,4.0,11.0,"RAAF, opb Qantas Empire Airways",1937-01-01,Damaged beyond repair,Landing (LDG),Military,Short,1942,March,Sunday,1906
424,1942-05-01,Douglas DST-A-207A (DC-3),United States of America,17,0,3.0,14.0,United Airlines,1938-01-01,Destroyed,Approach (APR),Domestic Scheduled Passenger,Douglas,1942,May,Friday,1581
430,1942-05-12,Lisunov PS-84,Russia,6,0,4.0,2.0,State Aviation Plant No.18,1942-01-01,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,Lisunov,1942,May,Tuesday,131
436,1942-05-25,Douglas C-39 (DC-2),Australia,10,0,4.0,6.0,USAAF,1939-01-01,Damaged beyond repair,Initial climb (ICL),Military,Douglas,1942,May,Monday,1240
441,1942-06-10,Ford 4-AT-B Tri-Motor,United States of America,1,0,1.0,0.0,Atlantic Airmotive,1928-01-01,Damaged beyond repair,Unknown (UNK),Unknown,Ford,1942,June,Wednesday,5274
445,1942-06-18,Lisunov PS-84,Russia,12,1,4.0,17.0,"Aeroflot, Moscow",1940-01-01,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,Lisunov,1942,June,Thursday,899
446,1942-06-18,Lisunov PS-84,Russia,5,0,5.0,2.0,Aeroflot,1941-01-01,Damaged beyond repair,Approach (APR),Unknown,Lisunov,1942,June,Thursday,533
448,1942-06-19,Lisunov PS-84,Russia,1,0,4.0,0.0,Aeroflot,1941-01-01,Damaged beyond repair,En route (ENR),Training,Lisunov,1942,June,Friday,534
451,1942-06-26,Lisunov PS-84,Russia,4,0,4.0,0.0,Aeroflot,1941-01-01,Damaged beyond repair,En route (ENR),Cargo,Lisunov,1942,June,Friday,541
452,1942-07-01,Douglas C-49E (DC-3),United States of America,21,0,2.0,19.0,USAAF,1937-01-01,Destroyed,En route (ENR),Military,Douglas,1942,July,Wednesday,2007
454,1942-07-14,Lockheed C-60B Lodestar,Australia,3,0,3.0,0.0,RAAF,1941-01-01,Missing,En route (ENR),Military,Lockheed,1942,July,Tuesday,559
462,1942-08-15,Douglas C-53 Skytrooper (DC-3),United States of America,17,0,4.0,16.0,USAAF,1942-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1942,August,Saturday,226
467,1942-08-22,Lockheed 14-WF62 Super Electra,Trinidad and Tobago,13,0,3.0,10.0,KLM West-Indisch Bedrijf,1938-01-01,Damaged beyond repair,Initial climb (ICL),International Scheduled Passenger,Lockheed,1942,August,Saturday,1694
468,1942-08-23,Douglas C-47 (DC-3),United Kingdom,12,0,4.0,9.0,USAAF,1942-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1942,August,Sunday,234
474,1942-09-14,Douglas DC-2-112,Papua New Guinea,5,0,5.0,0.0,RAAF,1934-01-01,Damaged beyond repair,Approach (APR),Military,Douglas,1942,September,Monday,3178
475,1942-09-19,Douglas C-47 (DC-3),United States of America,7,0,7.0,0.0,USAAF,1942-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1942,September,Saturday,261
476,1942-09-24,Short S.30 Empire Flying Boat,Atlantic Ocean,19,0,6.0,13.0,BOAC,1939-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Short,1942,September,Thursday,1362
478,1942-09-28,Lockheed 18 Lodestar,Brazil,15,0,4.0,11.0,Panair do Brasil,1941-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Lockheed,1942,September,Monday,635
482,1942-10-03,Vought-Sikorsky VS-44,Canada,11,0,11.0,26.0,American Export Airlines,1942-01-01,Damaged beyond repair,Takeoff (TOF),International Scheduled Passenger,Vought-Sikorsky,1942,October,Saturday,275
484,1942-10-15,Douglas C-49E (DC-3-DST),United States of America,9,0,2.0,7.0,USAAF,1935-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1942,October,Thursday,2844
485,1942-10-16,Douglas C-47 (DC-3),Papua New Guinea,3,0,3.0,0.0,USAAF,1942-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1942,October,Friday,288
487,1942-10-22,Lockheed Lodestar II,Egypt,13,0,3.0,10.0,RAF,1941-01-01,Destroyed,Initial climb (ICL),Int'l Non Scheduled Passenger,Lockheed,1942,October,Thursday,659
490,1942-10-23,Douglas DC-3-178,United States of America,12,0,3.0,9.0,American Airlines,1936-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Douglas,1942,October,Friday,2487
497,1942-11-05,Douglas C-47 (DC-3),Papua New Guinea,8,0,4.0,4.0,USAAF,1942-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1942,November,Thursday,308
499,1942-11-10,Douglas C-47 (DC-3),Papua New Guinea,17,0,4.0,19.0,USAAF,1942-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1942,November,Tuesday,313
500,1942-11-10,Douglas C-47 (DC-3),United States of America,3,0,3.0,0.0,USAAF,1942-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1942,November,Tuesday,313
509,1942-11-17,Douglas C-47 (DC-3),China,3,0,3.0,0.0,CNAC,1942-01-01,Destroyed,En route (ENR),Ferry/positioning,Douglas,1942,November,Tuesday,320
512,1942-11-21,Ford 4-AT-B Tri-Motor,United States of America,2,0,2.0,0.0,Atlantic Airmotive,1928-01-01,Damaged beyond repair,Takeoff (TOF),Ferry/positioning,Ford,1942,November,Saturday,5438
518,1942-11-26,Douglas C-47 (DC-3),Papua New Guinea,4,0,4.0,0.0,USAAF,1942-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1942,November,Thursday,329
522,1942-12-08,Lisunov Li-2,Uzbekistan,8,0,5.0,3.0,"Aeroflot, Uzbekistan",1942-01-01,Damaged beyond repair,En route (ENR),Ferry/positioning,Lisunov,1942,December,Tuesday,341
528,1942-12-15,Douglas DC-3A-191,United States of America,17,0,4.0,15.0,Western Air Lines,1936-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Douglas,1942,December,Tuesday,2540
531,1942-12-19,Lockheed 18 Lodestar,Kenya,12,0,4.0,8.0,South African AF,1941-01-01,Damaged beyond repair,Initial climb (ICL),Military,Lockheed,1942,December,Saturday,717
532,1942-12-20,Lockheed 14-H2 Super Electra,Canada,13,0,2.0,11.0,Canadian Pacific,1939-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Lockheed,1942,December,Sunday,1449
533,1942-12-22,Lisunov PS-84,Russia,10,0,5.0,7.0,"Aeroflot, Uralsk",1941-01-01,Damaged beyond repair,Unknown (UNK),Domestic Scheduled Passenger,Lisunov,1942,December,Tuesday,720
534,1942-12-22,Douglas C-47 (DC-3),United States of America,5,0,5.0,0.0,USAAF,1942-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1942,December,Tuesday,355
542,1943-01-06,Consolidated 28-5MC Canso (PBY-5),Canada,5,0,7.0,0.0,RCAF,1941-01-01,Damaged beyond repair,En route (ENR),Military,Consolidated,1943,January,Wednesday,735
544,1943-01-09,Shorts S.26 G Class,Portugal,13,0,6.0,9.0,BOAC,1940-01-01,Destroyed,En route (ENR),Test,Shorts,1943,January,Saturday,1104
546,1943-01-11,Douglas C-47 (DC-3),Pacific Ocean,5,0,5.0,0.0,USAAF,1942-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1943,January,Monday,375
547,1943-01-13,Lockheed 14-H2 Super Electra,Mali,3,0,3.0,0.0,Air France,1939-01-01,Damaged beyond repair,En route (ENR),Cargo,Lockheed,1943,January,Wednesday,1473
549,1943-01-15,Douglas C-54 (DC-4),Suriname,35,0,10.0,25.0,"USAAF, op.for TWA",1942-01-01,Destroyed,En route (ENR),Military,Douglas,1943,January,Friday,379
557,1943-01-21,Martin M-130,United States of America,19,0,9.0,10.0,Pan Am,1934-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Martin,1943,January,Thursday,3307
560,1943-01-22,Douglas DC-3A-399,Peru,14,0,4.0,11.0,Panagra,1941-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1943,January,Friday,751
562,1943-01-23,Lisunov PS-84,Russia,5,0,7.0,3.0,Aeroflot,1941-01-01,Damaged beyond repair,Initial climb (ICL),Cargo,Lisunov,1943,January,Saturday,752
566,1943-01-31,Douglas C-53 Skytrooper (DC-3),United States of America,3,0,3.0,3.0,USAAF,1942-01-01,Destroyed,En route (ENR),Military,Douglas,1943,January,Sunday,395
567,1943-01-31,Douglas Dakota II (DC-3),Myanmar,6,0,5.0,1.0,RAF,1942-01-01,Missing,En route (ENR),Military,Douglas,1943,January,Sunday,395
570,1943-02-07,Douglas C-47 (DC-3),Papua New Guinea,5,0,5.0,0.0,USAAF,1942-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1943,February,Sunday,402
576,1943-02-15,DH.95 Flamingo,Eritrea,2,0,2.0,0.0,BOAC,1940-01-01,Damaged beyond repair,Initial climb (ICL),Test,DH.95,1943,February,Monday,1141
579,1943-02-22,Boeing 314A,Portugal,24,0,12.0,27.0,Pan Am,1939-01-01,Destroyed,Approach (APR),International Scheduled Passenger,Boeing,1943,February,Monday,1513
580,1943-02-22,Douglas C-47 (DC-3),United States of America,2,0,2.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1943,February,Monday,52
585,1943-03-02,Lisunov Li-2,Armenia,2,0,5.0,1.0,Aeroflot,1941-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Lisunov,1943,March,Tuesday,790
593,1943-03-11,Douglas C-53-DO (DC-3),China,3,0,3.0,0.0,CNAC,1942-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1943,March,Thursday,434
594,1943-03-11,Douglas C-47 (DC-3),Papua New Guinea,8,0,6.0,2.0,USAAF,1942-01-01,Damaged beyond repair,Maneuvering (MNV),Military,Douglas,1943,March,Thursday,434
596,1943-03-13,Douglas C-53 (DC-3),Myanmar,3,0,3.0,0.0,CNAC,1942-01-01,Missing,En route (ENR),Cargo,Douglas,1943,March,Saturday,436
598,1943-03-24,Curtiss R5C-1 (C-46A),United States of America,4,0,4.0,0.0,US Navy,1943-01-01,Damaged beyond repair,Approach (APR),Military,Curtiss,1943,March,Wednesday,82
599,1943-03-27,Douglas C-47 (DC-3),Australia,23,0,4.0,19.0,RAAF,1942-01-01,Destroyed,Initial climb (ICL),Military,Douglas,1943,March,Saturday,450
600,1943-03-27,Lisunov PS-84,Russia,2,0,5.0,9.0,Aeroflot,1941-01-01,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,Lisunov,1943,March,Saturday,815
607,1943-04-04,Lockheed 18 Lodestar,Atlantic Ocean,7,0,3.0,4.0,BOAC,1941-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Lockheed,1943,April,Sunday,823
608,1943-04-07,Douglas C-53-DO (DC-3),India,1,0,3.0,0.0,CNAC,1942-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1943,April,Wednesday,461
616,1943-04-22,Short S.23 Empire Flying Boat Mk I,Papua New Guinea,2,0,4.0,27.0,Qantas,1937-01-01,Damaged beyond repair,Landing (LDG),Passenger,Short,1943,April,Thursday,2302
626,1943-05-05,PBV-1A Canso A (PBY-5A),Canada,6,0,7.0,0.0,RCAF,1943-01-01,Destroyed,Initial climb (ICL),Military,PBV-1A,1943,May,Wednesday,124
628,1943-05-08,Lockheed C-60A Lodestar,Canada,3,0,3.0,0.0,RCAF,1943-01-01,Damaged beyond repair,Approach (APR),Military,Lockheed,1943,May,Saturday,127
629,1943-05-11,Lisunov PS-84,Russia,1,0,4.0,1.0,Aeroflot,1941-01-01,Damaged beyond repair,Initial climb (ICL),Test,Lisunov,1943,May,Tuesday,860
631,1943-05-12,Douglas C-47 (DC-3),Papua New Guinea,5,0,4.0,1.0,USAAF,1942-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1943,May,Wednesday,496
638,1943-05-24,Douglas DC-3-196,Russia,1,0,4.0,16.0,"Aeroflot, Moscow",1938-01-01,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,Douglas,1943,May,Monday,1969
641,1943-05-28,Curtiss C-46A,United States of America,2,0,2.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Curtiss,1943,May,Friday,147
643,1943-06-01,Douglas DC-3-194,Atlantic Ocean,17,0,4.0,13.0,BOAC,1936-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Douglas,1943,June,Tuesday,2708
645,1943-06-02,Lisunov Li-2,Russia,7,0,7.0,0.0,Aeroflot,1943-01-01,Damaged beyond repair,En route (ENR),Military,Lisunov,1943,June,Wednesday,152
653,1943-06-09,Douglas C-47A (DC-3),Russia,6,0,3.0,5.0,Soviet AF,1943-01-01,Damaged beyond repair,Initial climb (ICL),Military,Douglas,1943,June,Wednesday,159
655,1943-06-09,Douglas DC-3-196A,China,32,0,4.0,28.0,Hamiata,1938-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Douglas,1943,June,Wednesday,1985
659,1943-06-13,Lisunov PS-84,Russia,4,0,6.0,0.0,Soviet AF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Lisunov,1943,June,Sunday,163
661,1943-06-16,Douglas C-48 (DC-3),Canada,3,0,3.0,0.0,USAAF,1940-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1943,June,Wednesday,1262
663,1943-06-17,Lisunov PS-84,Russia,4,0,5.0,0.0,Soviet AF,1943-01-01,Damaged beyond repair,Approach (APR),Military,Lisunov,1943,June,Thursday,167
668,1943-06-26,Lisunov Li-2,Russia,5,0,6.0,0.0,Soviet AF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Lisunov,1943,June,Saturday,176
669,1943-06-26,Lisunov PS-84,Russia,5,0,6.0,0.0,Soviet AF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Lisunov,1943,June,Saturday,176
672,1943-07-01,Curtiss C-46A,Unknown country,5,0,5.0,0.0,USAAF,1943-01-01,Missing,En route (ENR),Military,Curtiss,1943,July,Thursday,181
675,1943-07-03,Curtiss C-46A,India,1,0,4.0,0.0,USAAF,1943-01-01,Missing,Unknown (UNK),Military,Curtiss,1943,July,Saturday,183
679,1943-07-03,Fokker F.XXII,United Kingdom,20,0,4.0,16.0,RAF,1935-01-01,Damaged beyond repair,En route (ENR),Military,Fokker,1943,July,Saturday,3105
680,1943-07-09,Douglas C-54 (DC-4),United States of America,3,0,3.0,2.0,USAAF,1943-01-01,Damaged beyond repair,Maneuvering (MNV),Military,Douglas,1943,July,Friday,189
681,1943-07-09,Douglas C-47A (DC-3),Italy,5,0,4.0,1.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1943,July,Friday,189
682,1943-07-09,Douglas Dakota I (DC-3),Mediterranean Sea,1,0,3.0,0.0,RAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1943,July,Friday,189
683,1943-07-09,Douglas C-53D-DO (DC-3),Italy,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1943,July,Friday,189
684,1943-07-10,Douglas C-47A (DC-3),United States of America,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Maneuvering (MNV),Military,Douglas,1943,July,Saturday,190
686,1943-07-10,Douglas C-47A (DC-3),United States of America,6,0,4.0,15.0,USAAF,1943-01-01,Damaged beyond repair,Landing (LDG),Military,Douglas,1943,July,Saturday,190
687,1943-07-10,Douglas C-53D Skytrooper (DC-3),United States of America,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Maneuvering (MNV),Military,Douglas,1943,July,Saturday,190
688,1943-07-10,Douglas C-47A (DC-3),Italy,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1943,July,Saturday,190
689,1943-07-10,Douglas C-47A (DC-3),Italy,5,0,5.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1943,July,Saturday,190
690,1943-07-11,Douglas Dakota I (DC-3),Tunisia,6,0,4.0,2.0,RAF,1943-01-01,Damaged beyond repair,Initial climb (ICL),Military,Douglas,1943,July,Sunday,191
691,1943-07-11,Douglas C-47 (DC-3),Italy,11,0,5.0,10.0,USAAF,1942-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1943,July,Sunday,556
693,1943-07-11,Douglas C-47A (DC-3),Italy,6,0,6.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1943,July,Sunday,191
696,1943-07-11,Douglas C-47 (DC-3),Italy,5,0,5.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1943,July,Sunday,191
698,1943-07-11,Douglas C-47 (DC-3),Italy,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1943,July,Sunday,191
701,1943-07-13,Douglas C-47 (DC-3),Unknown country,4,0,3.0,1.0,USAAF,1942-01-01,Missing,En route (ENR),Military,Douglas,1943,July,Tuesday,558
